trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-256.48972686020716,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.1, 'e': 0.95}",20,0,-210.12818927302249,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.8999999999999999}",30,0,-86.57574804957737,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-129.105257265778,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.7999999999999998}",30,8,-15.119033824071531,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-72.18458791033639,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6999999999999997}",30,0,-159.88582336326678,"{0: 17, 1: 0, 2: 10, 3: 2, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.6499999999999997}",20,0,5.0540027488115555,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-47.274966433526835,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,3.272044527812442,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.4999999999999996}",20,6,-21.65318033366326,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.1, 'e': 0.4499999999999996}",30,13,3.585249675215751,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.39999999999999963}",25,0,-17.670589422828012,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.34999999999999964}",25,10,-5.065946572389297,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.29999999999999966}",25,11,-42.45365679425825,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.24999999999999967}",20,11,17.334094955642804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.19999999999999968}",25,3,-35.34905086529669,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.1499999999999997}",25,11,4.170241132090491,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.09999999999999969}",25,0,3.259918285969113,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.049999999999999684}",30,0,20.129275786193865,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,11,25.00805633306217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,38.101194941741575,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,2,37.20188998538121,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,24.246974376012513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,21.60128410751386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,22.697839576135067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,26.946970875260366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,29.89551145418005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,4,28.980990531624613,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,22.63374895720523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
