trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.94999999999999996}",20,0,-96.15269304355826,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.90249999999999986}",25,0,-150.61851729372677,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.85737499999999989}",20,0,-12.311182795782482,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.81450624999999988}",35,15,-112.62205800535992,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.1, 'e': 0.77378093749999977}",25,0,-101.95931287305903,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.7350918906249998}",20,0,-107.89879579617752,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.69833729609374973}",20,0,-97.80367691307015,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.66342043128906225}",30,0,-71.51878294450981,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.63024940972460908}",25,7,-34.9297738398696,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.59873693923837867}",20,6,-52.70046669213323,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.56880009227645967}",20,0,-48.94220580584795,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.54036008766263666}",20,0,-8.750022817353685,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.51334208327950481}",25,0,-60.30141620093891,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.48767497911552954}",20,0,-35.865373571066534,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.46329123015975304}",25,4,0.026206772860132288,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.44012666865176536}",25,0,0.7834944028226101,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.41812033521917708}",25,2,-69.61923361814496,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.3972143184582182}",20,0,-55.16204174295867,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.37735360253530725}",30,6,-56.942666483022656,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.1, 'e': 0.35848592240854188}",25,0,-19.32834919292326,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.34056162628811476}",30,19,20.727684066152804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.32353354497370901}",25,0,-4.250129491047805,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.30735686772502357}",20,2,34.013279715182335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.29198902433877238}",35,21,3.699476548109673,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.27738957312183377}",25,0,32.591892591497974,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.26352009446574204}",25,16,13.266556097066086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.25034408974245492}",20,1,10.620188621110927,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.23782688525533216}",30,18,15.406353614087916,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.22593554099256555}",25,9,33.316842330566466,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.21463876394293727}",30,14,18.485900387644858,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.20390682574579039}",20,0,2.911708123871685,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.19371148445850087}",30,3,5.314375378982011,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.1840259102355758}",20,3,28.293876349401625,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
