trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.203642382733285,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.56655878346743,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.5285972902725,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.59045239939897,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.69039166274484,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.463864290630076,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.40334501865335,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.60141194728233,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.73769304998532,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.70782529929551,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.77187314957987,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.1580125119441,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.74536009744546,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,15,0.2582539002262336,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.21693739504823,"{0: 13, 1: 9, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.06083572500873,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.3481111661523,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.36899131220585,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.920309702199276,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.36065682055946,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.21215476585661,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-158.40238478397708,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.09690242475962,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-199.01959647120339,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.16387146810895,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.36471127069903,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.321560279159,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.29842228110492,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.20131261006935,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-192.14435848631365,"{0: 16, 1: 5, 2: 11, 3: 2, 4: 1}",0
